# debris fragments from Cosmos1408 ASAT test
# simulated by Hugh Lewis
# file received by AL 2021-11-25
# SMA is semi-major axis from centre of Earth
# SMA-km   	ECC	         INC-dg	     RAAN-dg	AOP-dg	    MA-dg
6928.873678	0.028943	82.202026	123.788116	255.419676	70.745516
6773.15535	0.019663	83.084402	123.245093	193.984948	133.810147
6885.181322	0.003635	82.500778	123.603973	6.671529	322.93564
7532.490024	0.088532	82.875959	123.373182	328.160991	1.047144
7018.033748	0.023654	82.486273	123.612915	352.358312	338.044805
7113.419555	0.035014	81.673612	124.114597	334.264652	355.370894
6823.305836	0.006808	82.58703	123.550862	123.819289	205.877282
7305.578106	0.090801	80.034277	125.134431	275.889	45.249109
7053.868514	0.026748	82.738712	123.457545	331.972426	357.546351
6884.455186	0.041199	82.116882	123.840649	240.043066	84.561759
7187.896433	0.04541	83.044307	123.269738	319.18922	9.330213
7014.256433	0.027866	83.280777	123.124598	10.133845	321.337847
6882.346784	0.002533	82.491992	123.609384	314.389091	14.890599
6746.493973	0.018556	85.295957	121.893955	166.674811	162.218998
6842.915922	0.011065	82.64173	123.517197	76.508882	254.069778
6759.132828	0.016326	84.079863	122.635354	133.327268	196.660111
6903.440304	0.013163	81.849481	124.005813	262.560545	65.360371
6814.451118	0.008904	82.768928	123.438945	181.183429	147.648025
6854.602493	0.002707	82.537805	123.58117	94.453532	235.157007
6822.737709	0.006347	82.634726	123.521505	158.216455	171.033076
6812.334407	0.011496	82.90387	123.355989	195.459358	132.968629
7273.570271	0.061536	83.047828	123.26758	302.86429	23.526417
7640.921018	0.101571	82.909918	123.352316	325.648992	3.063095
7189.706321	0.050112	83.349246	123.082616	301.495628	25.335721
6875.263667	0.006493	82.810785	123.413212	250.959702	77.691035
6792.198293	0.02135	82.910373	123.351991	89.999904	241.504742
6833.348457	0.008819	82.525105	123.588988	205.999536	122.507457
6925.090685	0.010285	82.678993	123.494273	2.083773	327.92063
6890.715639	0.005263	82.584895	123.552181	14.649127	315.140505
7085.274263	0.03111	82.887971	123.365777	324.053286	5.018406
6973.61345	0.016076	82.451392	123.634397	313.051956	15.792753
6844.338899	0.015843	82.737212	123.458454	70.717643	260.438119
7291.48821	0.058461	81.945187	123.946695	326.090228	2.876804
7054.635975	0.043313	83.210412	123.167768	22.379727	310.923595
6848.455566	0.005509	82.761734	123.443372	85.639567	244.301399
6905.370702	0.005827	82.701406	123.480483	335.872836	353.57419
6815.172026	0.010984	82.24469	123.761792	195.938662	132.471693
6832.620501	0.00484	82.574877	123.558344	141.479256	187.955595
6902.033784	0.005975	82.43347	123.645434	356.233054	333.425986
6799.377264	0.011139	82.152387	123.818732	177.557353	151.155956
6955.579889	0.012968	82.833672	123.399146	326.034539	3.265644
6774.321415	0.013761	83.131155	123.216392	136.527941	193.224311
6827.089738	0.019448	82.536346	123.582066	76.44171	255.052423
6860.734627	0.012877	78.429947	126.144311	234.380993	93.079512
6784.36129	0.012639	82.358039	123.691907	167.392318	161.492627
6881.584792	0.004773	82.675918	123.496162	267.794015	61.094603
6828.213172	0.005923	82.618497	123.531494	125.678081	203.95711
6789.715051	0.011168	82.625766	123.527017	151.813298	177.490582
6895.427101	0.006382	82.773092	123.43639	281.283738	47.550912
6999.884375	0.028015	82.94733	123.329296	280.710663	46.307123
